brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
85105.0,for_sale,289000.0,3.0,3.0,0.5,605330.0,Naugatuck,Connecticut,6770.0,1914.0,
22463.0,for_sale,75000.0,,,2.18,376545.0,Sonora,California,95370.0,,2022-01-31
58713.0,sold,725000.0,5.0,4.0,0.15,1643609.0,Cutler Bay,Florida,33157.0,3945.0,2022-02-25
34821.0,for_sale,585000.0,3.0,4.0,23.25,1550710.0,Wickliffe,Kentucky,42087.0,4000.0,
78246.0,for_sale,310000.0,4.0,3.0,,1606161.0,Norfolk,Virginia,23504.0,1900.0,
10841.0,for_sale,255000.0,3.0,2.0,5.0,1119617.0,Shawnee,Oklahoma,74804.0,1764.0,
85075.0,for_sale,530000.0,4.0,3.0,0.21,1749687.0,Rialto,California,92376.0,1905.0,2017-06-30
81336.0,for_sale,65000.0,,,0.11,1044431.0,Parker,Arizona,85344.0,,
56953.0,for_sale,388000.0,3.0,2.0,,246495.0,Fenton,Michigan,48451.0,1690.0,
66613.0,for_sale,170000.0,3.0,1.0,0.28,268594.0,Springfield,Vermont,5156.0,1050.0,2014-09-15
20159.0,for_sale,436990.0,3.0,3.0,,293367.0,Mechanicsburg,Pennsylvania,17055.0,2403.0,
78858.0,sold,89900.0,4.0,2.0,0.34,1168866.0,Keeseville,New York,12944.0,1946.0,2022-04-08
30750.0,for_sale,307185.0,3.0,2.0,0.13,1120328.0,Las Cruces,New Mexico,88001.0,1511.0,
10409.0,sold,750000.0,4.0,3.0,0.23,1313671.0,Lynn,Massachusetts,1904.0,2600.0,2021-12-30
45881.0,sold,147500.0,2.0,2.0,0.18,1135355.0,Hamburg,New York,14075.0,1108.0,2021-11-24
98417.0,for_sale,220000.0,2.0,1.0,0.08,1016217.0,Lake Worth Beach,Florida,33460.0,856.0,2016-05-06
106841.0,for_sale,425000.0,3.0,2.0,0.11,1088318.0,Cranford,New Jersey,7016.0,,1967-06-06
100137.0,for_sale,258000.0,3.0,3.0,0.05,237869.0,Maplewood,Minnesota,55109.0,1771.0,2018-08-08
109887.0,sold,405000.0,4.0,3.0,0.09,363628.0,Victorville,California,92394.0,1618.0,2022-04-29
50463.0,for_sale,469950.0,3.0,3.0,0.12,1602698.0,Argyle,Texas,76226.0,1843.0,2020-11-23
22611.0,for_sale,850000.0,,,2.0,804299.0,Wayzata,Minnesota,55391.0,,
83975.0,for_sale,119700.0,,,3.98,1347048.0,Murphys,California,95247.0,,2005-04-20
39982.0,for_sale,74900.0,,,2.3,1971013.0,Kingsley,Michigan,49649.0,,
33714.0,for_sale,7500.0,,,0.21,1964002.0,Ethel,Louisiana,70730.0,,
51546.0,for_sale,145000.0,3.0,2.0,0.14,742880.0,Joplin,Missouri,64804.0,1250.0,2015-03-09
47885.0,for_sale,299900.0,3.0,2.0,0.5,806576.0,Atlanta,Georgia,30316.0,1050.0,2022-04-08
35204.0,sold,215000.0,2.0,1.0,0.03,1278410.0,Philadelphia,Pennsylvania,19128.0,960.0,2022-02-28
52525.0,for_sale,82000.0,,,5.7,1395607.0,Palmyra,Virginia,22963.0,,2022-02-21
78133.0,sold,1900000.0,4.0,4.0,0.11,716030.0,Irvine,California,92618.0,3179.0,2022-04-04
15936.0,for_sale,20000.0,,,1.86,1975140.0,Eagle Harbor,Michigan,49950.0,,
64874.0,for_sale,149000.0,,,2.5,1919057.0,Desert Hot Springs,California,92240.0,,
50404.0,sold,410000.0,3.0,2.0,0.27,512986.0,Yelm,Washington,98597.0,1704.0,2021-12-13
20177.0,for_sale,325000.0,2.0,2.0,0.02,413575.0,Kansas City,Missouri,64108.0,1036.0,
22611.0,for_sale,389900.0,3.0,3.0,12371.0,225625.0,Wyoming,Ohio,45215.0,1594.0,
71241.0,sold,330000.0,3.0,3.0,0.06,416904.0,Charlotte,North Carolina,28277.0,1620.0,2022-02-03
81680.0,for_sale,400000.0,4.0,2.0,0.24,1109651.0,Colorado Springs,Colorado,80918.0,1516.0,2006-03-22
75023.0,for_sale,2450000.0,1.0,1.0,75.0,1623381.0,Springer,Oklahoma,73458.0,2400.0,
81523.0,sold,129500.0,,,0.08,626122.0,Berthoud,Colorado,80513.0,,2022-04-06
75892.0,sold,299900.0,3.0,,,1929292.0,Menomonee Falls,Wisconsin,53051.0,,2022-04-25
83548.0,sold,395000.0,2.0,1.0,0.06,1226647.0,Sacramento,California,95834.0,891.0,2022-03-14
75802.0,sold,370000.0,3.0,2.0,0.13,1528162.0,Albuquerque,New Mexico,87114.0,1883.0,2022-03-18
106712.0,for_sale,550000.0,2.0,3.0,0.27,598249.0,Bluffton,South Carolina,29909.0,2333.0,2000-07-06
60917.0,for_sale,25000.0,,,0.12,659090.0,Fort Myers,Florida,33916.0,,
34817.0,for_sale,6110000.0,4.0,7.0,0.63,539379.0,Tequesta,Florida,33469.0,7074.0,2021-05-03
30171.0,for_sale,236300.0,4.0,3.0,0.21,93420.0,Derby,Kansas,67037.0,2208.0,2019-06-07
99417.0,sold,176500.0,4.0,3.0,0.77,1661083.0,Hamilton,Illinois,62341.0,1872.0,2022-01-21
63715.0,ready_to_build,744490.0,4.0,,,405930.0,Prosper,Texas,75078.0,2754.0,
8137.0,sold,765000.0,4.0,3.0,0.66,946301.0,Exton,Pennsylvania,19341.0,3788.0,2022-02-07
16829.0,sold,633000.0,3.0,2.0,,944582.0,Lemon Grove,California,91945.0,1492.0,2021-11-09
92928.0,sold,8100000.0,5.0,6.0,0.14,375096.0,New York City,New York,10011.0,6528.0,2022-03-28
15344.0,for_sale,50000.0,,,0.5,1965734.0,East Bernstadt,Kentucky,40729.0,,
104439.0,for_sale,350000.0,,,37.0,1540845.0,Joplin,Missouri,64801.0,,
23076.0,for_sale,75000.0,,,1.02,486191.0,Pontiac,Michigan,48340.0,,2011-08-30
103237.0,sold,210000.0,3.0,2.0,0.19,1037148.0,Rowlett,Texas,75089.0,1720.0,2021-11-03
1450.0,sold,379900.0,3.0,2.0,,166136.0,Anderson,South Carolina,29621.0,,2022-03-11
98119.0,for_sale,39900.0,,,0.28,1053955.0,Homosassa,Florida,34446.0,,2004-01-28
25389.0,for_sale,180000.0,,,10.2,1990187.0,Hernando,Mississippi,38632.0,,
67682.0,for_sale,600000.0,3.0,2.0,1.0,1296429.0,Shingle Springs,California,95682.0,1584.0,
85536.0,for_sale,1349900.0,4.0,5.0,2.62,661466.0,Fallston,Maryland,21047.0,4000.0,
63876.0,sold,289000.0,,,0.11,871236.0,East Rockaway,New York,11518.0,,2022-01-26
43599.0,sold,355000.0,4.0,3.0,0.14,1662768.0,Magnolia,Texas,77354.0,1963.0,2021-12-03
18706.0,for_sale,1800000.0,4.0,6.0,11.25,1475997.0,Seminole,Oklahoma,74868.0,12332.0,
34248.0,for_sale,265000.0,3.0,3.0,0.02,448269.0,Odessa,Florida,33556.0,1352.0,
17112.0,for_sale,490000.0,5.0,3.0,,156064.0,Olive Branch,Mississippi,38654.0,3090.0,2020-12-17
92209.0,for_sale,625000.0,3.0,2.0,0.21,354292.0,Seattle,Washington,98168.0,1250.0,2019-03-20
11310.0,sold,205000.0,3.0,3.0,0.04,685216.0,Arlington,Texas,76013.0,1518.0,2022-02-18
25882.0,for_sale,462265.0,3.0,4.0,,929150.0,Woodstock,Georgia,30189.0,2385.0,
99470.0,sold,710000.0,3.0,2.0,0.26,188923.0,Everett,Washington,98208.0,1574.0,2022-03-18
86797.0,for_sale,202000.0,2.0,2.0,,701155.0,Amarillo,Texas,79109.0,1519.0,2016-06-10
41533.0,for_sale,345000.0,3.0,2.0,0.71,196943.0,Poughkeepsie,New York,12603.0,1902.0,2018-07-09
52681.0,sold,67995.0,3.0,1.0,0.11,1017321.0,Flint,Michigan,48503.0,950.0,2022-04-01
82658.0,for_sale,89000.0,3.0,2.0,0.21,1059031.0,Youngstown,Ohio,44511.0,1352.0,2018-04-19
45189.0,sold,419950.0,4.0,2.0,0.14,1439546.0,Richmond,Virginia,23226.0,1829.0,2021-12-27
44652.0,sold,359117.0,,,170.0,1933602.0,Wallula,Washington,99363.0,,2022-03-01
81745.0,for_sale,315000.0,3.0,3.0,0.04,291486.0,Mount Airy,Maryland,21771.0,1540.0,2006-12-13
15345.0,sold,449900.0,3.0,1.0,2.4,426223.0,Lockport,Illinois,60491.0,,2022-04-27
22530.0,for_sale,16000.0,,,0.34,149061.0,Lehigh Acres,Florida,33972.0,,
108535.0,for_sale,99000.0,,,0.67,1993752.0,New Lisbon,Wisconsin,53950.0,,
102077.0,for_sale,29900.0,,,0.29,1934498.0,Thief River Falls,Minnesota,56701.0,,
24186.0,for_sale,440000.0,2.0,2.0,0.08,1650429.0,Henderson,Nevada,89011.0,1425.0,2020-04-08
19586.0,for_sale,271600.0,4.0,2.0,0.12,341693.0,Byram,Mississippi,39272.0,1888.0,
79911.0,for_sale,255000.0,3.0,3.0,0.37,393066.0,Devils Lake,North Dakota,58301.0,3400.0,
36229.0,sold,189900.0,3.0,2.0,2.6,1517602.0,Trussville,Alabama,35173.0,1176.0,2021-11-12
85758.0,for_sale,220000.0,3.0,1.0,0.16,671782.0,Cody,Wyoming,82414.0,1292.0,2019-11-01
22350.0,for_sale,374900.0,4.0,2.0,1.1,1117381.0,Lake Charles,Louisiana,70611.0,3077.0,2021-06-08
25581.0,for_sale,150000.0,,,0.96,1796554.0,Toccoa,Georgia,30577.0,,2012-08-30
16829.0,sold,525000.0,1.0,1.0,,1813057.0,Washington,District of Columbia,20037.0,822.0,2022-04-05
79477.0,sold,284900.0,4.0,4.0,1.04,1748863.0,Byron,Illinois,61010.0,3616.0,2021-11-19
53161.0,sold,245000.0,2.0,1.0,0.12,15920.0,Aston,Pennsylvania,19014.0,1050.0,2022-02-15
52571.0,sold,495000.0,2.0,1.0,,279514.0,Washington,District of Columbia,20009.0,767.0,2022-02-11
16151.0,for_sale,379900.0,3.0,2.0,0.24,325384.0,Toms River,New Jersey,8757.0,,2021-12-13
53295.0,sold,435000.0,2.0,2.0,20.75,537214.0,Candler,North Carolina,28715.0,1888.0,2021-12-01
37111.0,for_sale,342000.0,4.0,3.0,0.3,1649455.0,Charlotte,North Carolina,28212.0,1660.0,2020-11-03
53016.0,sold,682000.0,1.0,1.0,,1831970.0,Boston,Massachusetts,2128.0,740.0,2022-04-01
24165.0,for_sale,619000.0,5.0,3.0,0.2,632604.0,Bridgeport,Connecticut,6604.0,3965.0,2007-01-22
72082.0,for_sale,15000.0,,,0.26,230914.0,Lake Placid,Florida,33852.0,,2008-02-08
8100.0,sold,339999.0,3.0,3.0,0.03,828241.0,Franklin Twp,New Jersey,8873.0,1385.0,2021-12-03
19319.0,sold,329999.0,5.0,2.0,0.62,790318.0,Saint Augusta,Minnesota,56301.0,2388.0,2022-03-18
33745.0,for_sale,70000.0,,,4.12,2851.0,Highlandville,Missouri,65669.0,,
10631.0,for_sale,240000.0,,,,1923803.0,Boardman,Ohio,44512.0,,
52701.0,sold,239900.0,2.0,1.0,,1036537.0,Baltimore,Maryland,21218.0,1268.0,2022-04-07
78167.0,sold,289900.0,2.0,3.0,0.1,397427.0,New Prague,Minnesota,56071.0,1469.0,2021-11-10
4230.0,sold,549900.0,4.0,3.0,0.24,1803478.0,Fontana,California,92335.0,2433.0,2022-02-28
9803.0,sold,370000.0,4.0,3.0,0.17,119486.0,Davenport,Florida,33837.0,1925.0,2022-02-01
35658.0,for_sale,344500.0,4.0,2.0,0.49,184433.0,Crystal River,Florida,34429.0,2060.0,2018-11-30
52684.0,sold,475000.0,3.0,2.0,0.14,1740667.0,Silver Spring,Maryland,20910.0,1870.0,2022-04-01
52568.0,for_sale,674900.0,5.0,4.0,0.46,1565271.0,Wilton,New York,12831.0,3000.0,2008-12-30
105021.0,for_sale,599000.0,3.0,2.0,20.26,1090377.0,Moreland,Georgia,30259.0,1621.0,
16829.0,for_sale,1100000.0,3.0,2.0,0.26,271114.0,San Bruno,California,94066.0,1140.0,2007-09-21
76813.0,for_sale,99900.0,,,2.42,498253.0,Armada Township,Michigan,48005.0,,2022-03-24
108373.0,sold,687000.0,3.0,3.0,0.15,973027.0,Eugene,Oregon,97405.0,2540.0,2022-02-14
63069.0,for_sale,289900.0,3.0,1.0,0.19,946234.0,Maple Shade,New Jersey,8052.0,1681.0,
69064.0,for_sale,538500.0,4.0,4.0,0.5,274512.0,Flowood,Mississippi,39232.0,3110.0,
84534.0,for_sale,389900.0,4.0,2.0,0.18,1004538.0,Tucson,Arizona,85716.0,1546.0,2015-12-07
47696.0,sold,700000.0,5.0,3.0,0.25,320400.0,Moreno Valley,California,92555.0,3366.0,2022-03-03
23592.0,for_sale,829000.0,1.0,1.0,,603249.0,New York City,New York,10023.0,713.0,
24578.0,for_sale,210000.0,3.0,1.0,3.52,1346800.0,Cobleskill,New York,12043.0,1170.0,
53508.0,for_sale,1150000.0,4.0,3.0,0.21,554410.0,Renton,Washington,98058.0,2890.0,2014-12-02
52608.0,for_sale,319900.0,4.0,2.0,0.25,186036.0,Pooler,Georgia,31322.0,1870.0,2012-09-10
16221.0,for_sale,579000.0,4.0,2.0,0.17,366636.0,Belford,New Jersey,7718.0,1850.0,2015-10-29
74048.0,for_sale,89900.0,,,0.35,706888.0,Norwalk,Iowa,50211.0,,
108344.0,sold,375000.0,2.0,2.0,,686773.0,Everett,Washington,98204.0,1271.0,2021-11-10
23043.0,for_sale,499900.0,4.0,4.0,0.33,143984.0,Bogart,Georgia,30622.0,2850.0,2010-09-07
63715.0,for_sale,388000.0,3.0,2.0,0.17,1733495.0,Sahuarita,Arizona,85629.0,1960.0,
16829.0,for_sale,725000.0,3.0,2.0,,65188.0,Chicago,Illinois,60607.0,,
52684.0,sold,435000.0,3.0,3.0,0.04,1702190.0,Pasadena,Maryland,21122.0,2352.0,2022-03-18
18123.0,sold,549500.0,5.0,3.0,0.08,133822.0,Puyallup,Washington,98374.0,2375.0,2022-03-24
22611.0,for_sale,259900.0,2.0,2.0,0.15,249415.0,Newton,New Jersey,7860.0,1357.0,2004-11-08
32238.0,sold,369900.0,4.0,3.0,0.29,618646.0,Crosby,Texas,77532.0,2764.0,2022-03-30
52675.0,for_sale,799000.0,3.0,2.0,0.17,146020.0,Granada Hills,California,91344.0,1245.0,2018-07-19
15481.0,for_sale,599000.0,2.0,2.0,,411227.0,Fort Lee,New Jersey,7024.0,,
53016.0,for_sale,370000.0,3.0,2.0,0.15,276593.0,Fort Worth,Texas,76244.0,1844.0,2014-03-03
15642.0,for_sale,150000.0,,,10.0,1863977.0,Dike,Texas,75437.0,,
105021.0,for_sale,129900.0,,,6.7,1872539.0,Cleveland,Georgia,30528.0,,
35637.0,sold,299900.0,3.0,2.0,0.1,1614097.0,Orlando,Florida,32822.0,1130.0,2022-02-25
94022.0,sold,182700.0,3.0,3.0,0.03,939618.0,Greenville,South Carolina,29607.0,,2021-11-30
22611.0,for_sale,39900.0,,,0.14,29147.0,Edgewater,Florida,32132.0,,
18129.0,for_sale,450000.0,4.0,2.0,,793447.0,Bayville,New Jersey,8721.0,1680.0,
44694.0,for_sale,50000.0,,,,1943486.0,Lillian,Alabama,36549.0,,
52660.0,for_sale,313780.0,4.0,2.0,,1677562.0,Baytown,Texas,77521.0,,
17175.0,for_sale,425000.0,,,209.0,1846904.0,Oldtown,Maryland,21555.0,,
83869.0,for_sale,99000.0,,,30.0,1866809.0,Potrero,California,91963.0,,
2384.0,sold,390000.0,6.0,4.0,0.15,1183237.0,Abilene,Texas,79602.0,,2021-12-06
88714.0,for_sale,105000.0,,,0.18,608328.0,Wichita Falls,Texas,76308.0,,
106775.0,sold,440000.0,3.0,3.0,,396056.0,Denville,New Jersey,7834.0,,2021-12-13
93246.0,for_sale,39500.0,1.0,1.0,0.2,821844.0,Englewood,Tennessee,37329.0,1015.0,2006-10-24
16829.0,sold,1350000.0,3.0,1.0,0.13,220381.0,Santa Clara,California,95051.0,1000.0,2022-04-04
68947.0,for_sale,1800000.0,8.0,5.0,0.11,917926.0,College Point,New York,11356.0,,1987-10-26
19718.0,for_sale,565900.0,3.0,3.0,0.29,872291.0,Plymouth,Michigan,48170.0,1700.0,1996-08-06
62815.0,for_sale,54000.0,4.0,1.0,0.11,1708001.0,Rochester,New York,14621.0,1322.0,2006-04-27
53395.0,for_sale,825000.0,2.0,3.0,0.18,135286.0,Sun Lakes,Arizona,85248.0,2606.0,2021-09-02
30434.0,sold,310000.0,3.0,3.0,0.1,1426319.0,El Paso,Texas,79912.0,2061.0,2022-04-18
53196.0,for_sale,355000.0,3.0,2.0,0.23,1150094.0,Lehigh Acres,Florida,33971.0,1714.0,2020-10-22
53636.0,sold,730000.0,2.0,2.0,0.12,757011.0,Valencia,California,91355.0,1374.0,2022-01-14
102260.0,for_sale,465000.0,3.0,3.0,0.06,1425223.0,Suwanee,Georgia,30024.0,2614.0,2021-01-21
63859.0,sold,276900.0,4.0,3.0,1.37,1612598.0,Edmond,Oklahoma,73025.0,2490.0,2021-12-17
46696.0,for_sale,219900.0,,,9.6,422166.0,Malad City,Idaho,83252.0,,
